t, c	M(t), рад	E(t), рад	Theta(t), рад	
643	0.062347	0.679948	2.66751
644	0.062444	0.680409	2.66785
645	0.062541	0.680869	2.66818
646	0.0626379	0.681328	2.66851
647	0.0627349	0.681787	2.66884
648	0.0628319	0.682244	2.66917
649	0.0629288	0.682701	2.6695
650	0.0630258	0.683157	2.66983
651	0.0631227	0.683612	2.67016
652	0.0632197	0.684067	2.67049
653	0.0633167	0.684521	2.67081
654	0.0634136	0.684974	2.67114
655	0.0635106	0.685426	2.67146
656	0.0636076	0.685878	2.67178
657	0.0637045	0.686329	2.67211
658	0.0638015	0.686779	2.67243
659	0.0638984	0.687228	2.67275
660	0.0639954	0.687677	2.67307
661	0.0640924	0.688125	2.67339
662	0.0641893	0.688572	2.6737
663	0.0642863	0.689019	2.67402
664	0.0643833	0.689465	2.67434
665	0.0644802	0.68991	2.67465
666	0.0645772	0.690354	2.67497
667	0.0646741	0.690798	2.67528
668	0.0647711	0.691241	2.67559
669	0.0648681	0.691683	2.6759
670	0.064965	0.692125	2.67621
671	0.065062	0.692566	2.67652
672	0.065159	0.693006	2.67683
673	0.0652559	0.693445	2.67714
674	0.0653529	0.693884	2.67745
675	0.0654498	0.694322	2.67775
676	0.0655468	0.69476	2.67806
677	0.0656438	0.695196	2.67836
678	0.0657407	0.695633	2.67867
679	0.0658377	0.696068	2.67897
680	0.0659347	0.696503	2.67927
681	0.0660316	0.696937	2.67958
682	0.0661286	0.69737	2.67988
683	0.0662255	0.697803	2.68018
684	0.0663225	0.698235	2.68048
685	0.0664195	0.698667	2.68077
686	0.0665164	0.699097	2.68107
687	0.0666134	0.699527	2.68137
688	0.0667104	0.699957	2.68167
689	0.0668073	0.700386	2.68196
690	0.0669043	0.700814	2.68226
691	0.0670013	0.701242	2.68255
692	0.0670982	0.701668	2.68284
693	0.0671952	0.702095	2.68313
694	0.0672921	0.70252	2.68343
695	0.0673891	0.702945	2.68372
696	0.0674861	0.70337	2.68401
697	0.067583	0.703793	2.6843
698	0.06768	0.704217	2.68458
699	0.067777	0.704639	2.68487
700	0.0678739	0.705061	2.68516
701	0.0679709	0.705482	2.68545
702	0.0680678	0.705903	2.68573
703	0.0681648	0.706323	2.68602
704	0.0682618	0.706742	2.6863
705	0.0683587	0.707161	2.68658
706	0.0684557	0.707579	2.68687
707	0.0685527	0.707997	2.68715
708	0.0686496	0.708414	2.68743
709	0.0687466	0.708831	2.68771
710	0.0688435	0.709246	2.68799
711	0.0689405	0.709662	2.68827
712	0.0690375	0.710076	2.68855
713	0.0691344	0.71049	2.68883
714	0.0692314	0.710904	2.6891
715	0.0693284	0.711317	2.68938
716	0.0694253	0.711729	2.68966
717	0.0695223	0.712141	2.68993
718	0.0696192	0.712552	2.69021
719	0.0697162	0.712962	2.69048
720	0.0698132	0.713372	2.69075
721	0.0699101	0.713782	2.69102
722	0.0700071	0.714191	2.6913
723	0.0701041	0.714599	2.69157
724	0.070201	0.715007	2.69184
725	0.070298	0.715414	2.69211
726	0.0703949	0.71582	2.69238
727	0.0704919	0.716226	2.69265
728	0.0705889	0.716632	2.69291
729	0.0706858	0.717037	2.69318
730	0.0707828	0.717441	2.69345
731	0.0708798	0.717845	2.69371
732	0.0709767	0.718248	2.69398
733	0.0710737	0.718651	2.69424
734	0.0711706	0.719053	2.69451
735	0.0712676	0.719455	2.69477
736	0.0713646	0.719856	2.69503
737	0.0714615	0.720256	2.6953
738	0.0715585	0.720656	2.69556
739	0.0716555	0.721056	2.69582
740	0.0717524	0.721455	2.69608
741	0.0718494	0.721853	2.69634
742	0.0719464	0.722251	2.6966
743	0.0720433	0.722649	2.69686
744	0.0721403	0.723045	2.69712
745	0.0722372	0.723442	2.69737
746	0.0723342	0.723838	2.69763
747	0.0724312	0.724233	2.69789
748	0.0725281	0.724628	2.69814
749	0.0726251	0.725022	2.6984
750	0.0727221	0.725416	2.69865
751	0.072819	0.725809	2.6989
752	0.072916	0.726202	2.69916
753	0.0730129	0.726594	2.69941
754	0.0731099	0.726985	2.69966
755	0.0732069	0.727377	2.69991
756	0.0733038	0.727767	2.70017
757	0.0734008	0.728158	2.70042
758	0.0734978	0.728547	2.70067
759	0.0735947	0.728937	2.70092
760	0.0736917	0.729325	2.70116
761	0.0737886	0.729714	2.70141
762	0.0738856	0.730101	2.70166
763	0.0739826	0.730488	2.70191
764	0.0740795	0.730875	2.70215
765	0.0741765	0.731262	2.7024
766	0.0742735	0.731647	2.70265
767	0.0743704	0.732033	2.70289
768	0.0744674	0.732417	2.70314
769	0.0745643	0.732802	2.70338
770	0.0746613	0.733186	2.70362
