t, c	M(t), рад	E(t), рад	Theta(t), рад	
543	0.0526508	0.0526502	0.597833
544	0.0527477	0.0527471	0.59887
545	0.0528447	0.0528441	0.599907
546	0.0529417	0.0529411	0.600943
547	0.0530386	0.053038	0.601979
548	0.0531356	0.053135	0.603014
549	0.0532325	0.0532319	0.604049
550	0.0533295	0.0533289	0.605084
551	0.0534265	0.0534259	0.606119
552	0.0535234	0.0535228	0.607153
553	0.0536204	0.0536198	0.608187
554	0.0537174	0.0537168	0.609221
555	0.0538143	0.0538137	0.610254
556	0.0539113	0.0539107	0.611287
557	0.0540082	0.0540076	0.612319
558	0.0541052	0.0541046	0.613352
559	0.0542022	0.0542016	0.614384
560	0.0542991	0.0542985	0.615415
561	0.0543961	0.0543955	0.616446
562	0.0544931	0.0544925	0.617477
563	0.05459	0.0545894	0.618508
564	0.054687	0.0546864	0.619538
565	0.0547839	0.0547833	0.620568
566	0.0548809	0.0548803	0.621598
567	0.0549779	0.0549773	0.622627
568	0.0550748	0.0550742	0.623656
569	0.0551718	0.0551712	0.624684
570	0.0552688	0.0552682	0.625712
571	0.0553657	0.0553651	0.62674
572	0.0554627	0.0554621	0.627768
573	0.0555596	0.0555591	0.628795
574	0.0556566	0.055656	0.629822
575	0.0557536	0.055753	0.630848
576	0.0558505	0.0558499	0.631874
577	0.0559475	0.0559469	0.6329
578	0.0560445	0.0560439	0.633926
579	0.0561414	0.0561408	0.634951
580	0.0562384	0.0562378	0.635976
581	0.0563353	0.0563348	0.637
582	0.0564323	0.0564317	0.638024
583	0.0565293	0.0565287	0.639048
584	0.0566262	0.0566256	0.640071
585	0.0567232	0.0567226	0.641095
586	0.0568202	0.0568196	0.642117
587	0.0569171	0.0569165	0.64314
588	0.0570141	0.0570135	0.644162
589	0.0571111	0.0571105	0.645183
590	0.057208	0.0572074	0.646205
591	0.057305	0.0573044	0.647226
592	0.0574019	0.0574013	0.648246
593	0.0574989	0.0574983	0.649267
594	0.0575959	0.0575953	0.650287
595	0.0576928	0.0576922	0.651306
596	0.0577898	0.0577892	0.652326
597	0.0578868	0.0578862	0.653344
598	0.0579837	0.0579831	0.654363
599	0.0580807	0.0580801	0.655381
600	0.0581776	0.058177	0.656399
601	0.0582746	0.058274	0.657417
602	0.0583716	0.058371	0.658434
603	0.0584685	0.0584679	0.659451
604	0.0585655	0.0585649	0.660467
605	0.0586625	0.0586619	0.661483
606	0.0587594	0.0587588	0.662499
607	0.0588564	0.0588558	0.663514
608	0.0589533	0.0589527	0.66453
609	0.0590503	0.0590497	0.665544
610	0.0591473	0.0591467	0.666559
611	0.0592442	0.0592436	0.667573
612	0.0593412	0.0593406	0.668586
613	0.0594382	0.0594376	0.6696
614	0.0595351	0.0595345	0.670612
615	0.0596321	0.0596315	0.671625
616	0.059729	0.0597284	0.672637
617	0.059826	0.0598254	0.673649
618	0.059923	0.0599224	0.674661
619	0.0600199	0.0600193	0.675672
620	0.0601169	0.0601163	0.676683
621	0.0602139	0.0602133	0.677693
622	0.0603108	0.0603102	0.678703
623	0.0604078	0.0604072	0.679713
624	0.0605047	0.0605042	0.680722
625	0.0606017	0.0606011	0.681731
626	0.0606987	0.0606981	0.68274
627	0.0607956	0.060795	0.683748
628	0.0608926	0.060892	0.684756
629	0.0609896	0.060989	0.685764
630	0.0610865	0.0610859	0.686771
631	0.0611835	0.0611829	0.687778
632	0.0612804	0.0612799	0.688785
633	0.0613774	0.0613768	0.689791
634	0.0614744	0.0614738	0.690797
635	0.0615713	0.0615707	0.691802
636	0.0616683	0.0616677	0.692807
637	0.0617653	0.0617647	0.693812
638	0.0618622	0.0618616	0.694816
639	0.0619592	0.0619586	0.69582
640	0.0620562	0.0620556	0.696824
641	0.0621531	0.0621525	0.697827
642	0.0622501	0.0622495	0.69883
643	0.062347	0.0623464	0.699832
644	0.062444	0.0624434	0.700835
645	0.062541	0.0625404	0.701836
646	0.0626379	0.0626373	0.702838
647	0.0627349	0.0627343	0.703839
648	0.0628319	0.0628313	0.70484
649	0.0629288	0.0629282	0.70584
650	0.0630258	0.0630252	0.70684
651	0.0631227	0.0631221	0.70784
652	0.0632197	0.0632191	0.708839
653	0.0633167	0.0633161	0.709838
654	0.0634136	0.063413	0.710836
655	0.0635106	0.06351	0.711834
656	0.0636076	0.063607	0.712832
657	0.0637045	0.0637039	0.71383
658	0.0638015	0.0638009	0.714827
659	0.0638984	0.0638978	0.715823
660	0.0639954	0.0639948	0.71682
661	0.0640924	0.0640918	0.717816
662	0.0641893	0.0641887	0.718811
663	0.0642863	0.0642857	0.719806
664	0.0643833	0.0643827	0.720801
665	0.0644802	0.0644796	0.721796
666	0.0645772	0.0645766	0.72279
667	0.0646741	0.0646735	0.723783
668	0.0647711	0.0647705	0.724777
669	0.0648681	0.0648675	0.72577
670	0.064965	0.0649644	0.726762
671	0.065062	0.0650614	0.727755
672	0.065159	0.0651584	0.728747
673	0.0652559	0.0652553	0.729738
674	0.0653529	0.0653523	0.730729
675	0.0654498	0.0654493	0.73172
676	0.0655468	0.0655462	0.73271
677	0.0656438	0.0656432	0.7337
678	0.0657407	0.0657401	0.73469
679	0.0658377	0.0658371	0.735679
680	0.0659347	0.0659341	0.736668
681	0.0660316	0.066031	0.737657
682	0.0661286	0.066128	0.738645
683	0.0662255	0.066225	0.739632
684	0.0663225	0.0663219	0.74062
685	0.0664195	0.0664189	0.741607
686	0.0665164	0.0665158	0.742594
687	0.0666134	0.0666128	0.74358
688	0.0667104	0.0667098	0.744566
689	0.0668073	0.0668067	0.745551
690	0.0669043	0.0669037	0.746536
691	0.0670013	0.0670007	0.747521
692	0.0670982	0.0670976	0.748505
693	0.0671952	0.0671946	0.749489
694	0.0672921	0.0672915	0.750473
695	0.0673891	0.0673885	0.751456
696	0.0674861	0.0674855	0.752439
697	0.067583	0.0675824	0.753422
698	0.06768	0.0676794	0.754404
699	0.067777	0.0677764	0.755386
700	0.0678739	0.0678733	0.756367
701	0.0679709	0.0679703	0.757348
702	0.0680678	0.0680672	0.758329
703	0.0681648	0.0681642	0.759309
704	0.0682618	0.0682612	0.760289
705	0.0683587	0.0683581	0.761268
706	0.0684557	0.0684551	0.762247
707	0.0685527	0.0685521	0.763226
708	0.0686496	0.068649	0.764204
709	0.0687466	0.068746	0.765182
